Date,Mileage,Discount,Price,Gallons
4/21/2023,85335,$0.00 ,$22.99 ,6.97
6/2/2023,86773,$0.03 ,$26.03 ,8.621
6/26/2023,87517,$0.03 ,$23.01 ,7.262
8/24/2023,89059,$0.00 ,$20.00 ,5.919
9/9/2023,89232,$0.10 ,$29.62 ,9.034
9/13/2023,89488,$0.00 ,$31.24 ,9.766
9/19/2023,89657,$0.00 ,$21.02 ,6.47
9/26/2023,89877,$0.00 ,$22.02 ,6.479
10/1/2023,90120,$0.00 ,$25.65 ,7.799
10/7/2023,90324,$0.00 ,$22.31 ,7.54
10/13/2023,90562,$0.20 ,$24.46 ,9.267
10/17/2023,90716,$0.00 ,$16.42 ,5.889
10/20/2023,90970,$0.00 ,$30.47 ,9.099
10/25/2023,91198,$0.00 ,$22.49 ,7.786
10/31/2023,91330,$0.00 ,$17 ,5.623
11/10/2023,91780,$0.00 ,$22.01 ,8.124
11/14/2023,91995,$0.00 ,$21.23 ,8.199
11/17/2023,92165,$0.20 ,$18.84 ,7.086
11/24/2023,92378,$0.40 ,$17.01 ,7.63
11/29/2023,92612,$0.10 ,$19.42 ,8.266
12/3/2023,92745,$0.00 ,$14.00 ,5.073
12/5/2023,92846,$0.00 ,$8.73 ,3.493
12/13/2023,93095,$0.00 ,$20.86 ,8.879
12/21/2023,93387,$0.10 ,$28.42 ,10.528
1/3/2024,93655,$0.80 ,$15.20 ,9.506
1/10/2024,93906,$0.00 ,$23.38 ,8.86
1/15/2024,94076,$0.20 ,$15.18 ,6.381
1/18/2024,94376,$0.20 ,$24.93 ,10.611
1/24/2024,94612,$0.03 ,$24.64 ,8.898
2/2/2024,94823,$0.00 ,$24.76 ,8.482
2/12/2024,95275,$0.00 ,$23.20 ,7.737
2/17/2024,95493,$0.00 ,$23.12 ,8.002
3/1/2024,95695,$0.00 ,$25.65 ,8.412
3/5/2024,95892,$0.00 ,$21.11 ,7.281
3/12/2024,96120,$0.00 ,$28.79 ,9
3/16/2024,96379,$0.00 ,$28.51 ,9.228
3/18/2024,96535,$0.00 ,$17.48 ,5.734
3/23/2024,96750,$0.00 ,$24.91 ,7.506
3/29/2024,97082,$0.00 ,$37.41 ,11.841
4/2/2024,97337,$0.00 ,$28.01 ,8.922
4/3/2024,97621,$0.00 ,$27.97 ,9.716
4/7/2024,98096,$0.00 ,$19.53 ,5.848
4/9/2024,98258,$0.00 ,$20.45 ,6.163
4/13/2024,98521,$0.00 ,$32.17 ,9.964
4/17/2024,98805,$0.00 ,$36.01 ,10.292
4/25/2024,99016,$0.00 ,$26.33 ,7.887
4/29/2024,99209,$0.00 ,$25.10 ,7.655
5/3/2024,99452,$0.00 ,$33.69 ,9.741
5/8/2024,99657,$0.00 ,$24.44 ,7.409
5/17/2024,99878,$0.10 ,$28.68 ,9.892
5/23/2024,100024,$0.00 ,$19.99 ,6.135
6/3/2024,100269,$0.00 ,$27.40 ,9.452
6/11/2024,100541,$0.40 ,$23.92 ,10.181
6/15/2024,100785,$0.00 ,$21.47 ,7.484
6/18/2024,100936,$0.20 ,$17.52 ,6.515
6/24/2024,101111,$0.00 ,$20.48 ,6.83
7/8/2024,101311,$0.00 ,$25.85 ,8.534
7/11/2024,101626,$0.00 ,$36.03 ,11.089
7/16/2024,101880,$0.00 ,$26.31 ,8.922
7/29/2024,102068,$0.00 ,$22.06 ,7.505
8/7/2024,102250,$0.00 ,$24.83 ,8.594
8/14/2024,102478,$0.00 ,$24.42 ,8.663
8/20/2024,102667,$0.00 ,$21.38 ,7.2
8/23/2024,102773,$0.00 ,$15.76 ,5.438
8/24/2024,102990,$0.00 ,$17.83 ,6.238
8/30/2024,103219,$0.00 ,$26.60 ,9.93
9/5/2024,103454,$0.00 ,$25.18 ,8.538
9/8/2024,103617,$0.00 ,$16.35 ,5.778
9/11/2024,103813,$0.00 ,$20.84 ,7.721
9/15/2024,104083,$0.00 ,$26.52 ,10.087
9/23/2024,104239,$0.00 ,$22.23 ,8.177
9/28/2024,104465,$0.00 ,$25.22 ,9.934
10/5/2024,104715,$0.00 ,$28.05 ,9.915
10/8/2024,104946,$0.00 ,$24.71 ,8.524
10/14/2024,105121,$0.00 ,$20.98 ,8.262
10/21/2024,105647,$0.00 ,$28.30 ,10.806
10/28/2024,105928,$0.00 ,$27.35 ,11.077
11/1/2024,106181,$0.00 ,$24.68 ,9.351
11/4/2024,106368,$0.00 ,$21.67 ,8.74
11/6/2024,106608,$0.00 ,$19.89 ,8.362
11/10/2024,106847,$0.00 ,$22.95 ,9.607
11/12/2024,107107,$0.00 ,$25.98 ,8.963
11/18/2024,107302,$0.00 ,$21.26 ,7.995
11/21/2024,107593,$0.00 ,$27.09 ,10.187
11/26/2024,107792,$0.00 ,$22.03 ,8.61
11/29/2024,108036,$0.00 ,$22.90 ,9.236
12/2/2024,108307,$0.00 ,$23.78 ,9.79
12/7/2024,108500,$0.00 ,$20.97 ,7.768
12/10/2024,108721,$0.00 ,$20.78 ,8.12
12/11/2024,108930,$0.00 ,$19.71 ,7.413
12/12/2024,109281,$0.00 ,$29.61 ,11.137
12/13/2024,109502,$0.00 ,$16.82 ,6.732
12/18/2024,109722,$0.00 ,$25.07 ,8.957
12/20/2024,109934,$0.50 ,$15.81 ,7.094
12/20/2024,110204,$0.00 ,$20.54 ,9.131
12/21/2024,110427,$0.00 ,$23.24 ,8.611
12/23/2024,110715,$0.00 ,$26.22 ,9.75
12/27/2024,110924,$0.00 ,$19.59 ,7.314
12/31/2024,111207,$0.00 ,$29.97 ,10.337
1/2/2025,111561,$0.20 ,$31.44 ,11.915
1/7/2025,111776,$0.00 ,$22.82 ,8.272
1/8/2025,111834,$0.00 ,$5.43 ,1.991
1/16/2025,112008,$0.00 ,$20.72 ,7.402
1/20/2025,112230,$0.00 ,$23.10 ,8.373
1/28/2025,112379,$0.00 ,$18.45 ,6.364
2/3/2025,112618,$0.20 ,$22.59 ,9.077
2/4/2025,112903,$0.00 ,$26.39 ,9.888
2/7/2025,113070,$0.00 ,$15.93 ,6.178
2/10/2025,113332,$0.20 ,$23.90 ,10.132
2/12/2025,113560,$0.00 ,$24.10 ,8.3313
2/19/2025,113799,$0.00 ,$27.58 ,10.033
2/22/2025,114092,$0.00 ,$28.91 ,10.872
2/23/2025,114300,$0.00 ,$25.00 ,7.623
2/25/2025,114548,$0.00 ,$21.09 ,8.273
3/1/2025,114837,$0.00 ,$25.34 ,10.304
3/6/2025,115046,$0.00 ,$23.01 ,8.02
3/13/2025,115300,$0.00 ,$27.13 ,10.127
3/16/2025,115595,$0.00 ,$29.75 ,11.446
3/23/2025,115882,$0.00 ,$32.00 ,11.193
3/26/2025,116143,$0.00 ,$28.74 ,10.418
3/29/2025,116404,$0.00 ,$28.85 ,10.571
4/2/2025,116715,$0.00 ,$36.48 ,11.772
4/15/2025,116956,$0.20 ,$25.00 ,9.694
4/20/2025,117197,$0.00 ,$26.19 ,9.703
4/22/2025,117406,$0.00 ,$20.58 ,7.739
4/27/2025,117617,$0.00 ,$22.18 ,8.534
5/2/2025,117924,$0.00 ,$32.62 ,11.023
5/5/2025,118204,$0.40 ,$24.74 ,9.978
5/9/2025,118317,$0.00 ,$10.58 ,3.863
5/12/2025,118628,$0.00 ,$28.72 ,10.524
5/15/2025,118895,$0.00 ,$30.13 ,9.851
5/22/2025,119180,$0.00 ,$33.79 ,11.42
6/3/2025,119583,$0.00 ,$31.53 ,10.515
6/14/2025,119876,$0.00 ,$31.63 ,11.463
6/19/2025,120159,$0.00 ,$34.54 ,11.516
6/27/2025,120374,$0.80 ,$24.33 ,8.881
6/29/2025,120496,$0.00 ,$13.97 ,5.255
7/4/2025,120797,$0.00 ,$28.98 ,10.987
7/9/2025,120972,$0.00 ,$20.90 ,7.038
7/13/2025,121204,$0.00 ,$26.64 ,9.188
7/14/2025,121521,$0.00 ,$31.12 ,10.922
7/18/2025,121745,$0.30 ,$21.58 ,8.533
7/25/2025,122033,$0.00 ,$30.79 ,10.769
7/28/2025,122345,$0.00 ,$33.45 ,11.539
8/3/2025,122511,$0.00 ,$18.75 ,6.948
8/10/2025,122818,$0.00 ,$29.37 ,11.478
8/13/2025,123117,$0.00 ,$33.32 ,11.221
8/17/2025,123398,$0.00 ,$28.57 ,10.029
8/26/2025,123713,$0.00 ,$37.61 ,12.542
8/31/2025,124020,$0.00 ,$29.71 ,10.391
9/9/2025,124325,$0.00 ,$30.71 ,11.818
9/13/2025,124668,$0.00 ,$38.03 ,13.117
9/22/2025,124983,$0.00 ,$32.26 ,11.952
9/29/2025,125274,$0.00 ,$28.07 ,11.231
10/8/2025,125562,$0.00 ,$33.41 ,12.021
